Item Name,Category,Available Timing,Location
Choco Delight 6826,Dinner,6:00 PM - 10:00 PM,Canada
Sizzling Blaze 981,Dinner,6:00 PM - 10:00 PM,Germany
Golden Delight 4513,Desserts,11:00 AM - 11:00 PM,Australia
Herbal Twist 322,Beverages,8:00 AM - 10:00 PM,Japan
Golden Delight 4213,Lunch,11:00 AM - 3:00 PM,South Africa
Herbal Twist 7453,Desserts,11:00 AM - 11:00 PM,South Africa
Grilled Fusion 3739,Beverages,8:00 AM - 10:00 PM,Canada
Golden Blaze 6128,Lunch,11:00 AM - 3:00 PM,China
Grilled Twist 2668,Dinner,6:00 PM - 10:00 PM,China
Golden Brew 7847,Lunch,11:00 AM - 3:00 PM,Australia
Zesty Blaze 1758,Beverages,8:00 AM - 10:00 PM,Canada
Sizzling Fusion 9824,Lunch,11:00 AM - 3:00 PM,India
Choco Thunder 5554,Lunch,11:00 AM - 3:00 PM,South Africa
Tandoori Blaze 5305,Beverages,8:00 AM - 10:00 PM,South Africa
Golden Thunder 3467,Lunch,11:00 AM - 3:00 PM,Brazil
Golden Twist 6584,Snacks,3:00 PM - 6:00 PM,South Africa
Zesty Snack 378,Beverages,8:00 AM - 10:00 PM,Brazil
Herbal Burst 7656,Breakfast,6:00 AM - 10:00 AM,Japan
Spicy Treat 4062,Breakfast,6:00 AM - 10:00 AM,South Africa
Tandoori Treat 9411,Lunch,11:00 AM - 3:00 PM,South Africa
Crispy Crunch 231,Dinner,6:00 PM - 10:00 PM,Germany
Spicy Fusion 1199,Lunch,11:00 AM - 3:00 PM,USA
Veg Thunder 7906,Snacks,3:00 PM - 6:00 PM,Canada
Zesty Brew 4721,Lunch,11:00 AM - 3:00 PM,India
Tandoori Snack 7589,Breakfast,6:00 AM - 10:00 AM,Japan
Zesty Thunder 9901,Lunch,11:00 AM - 3:00 PM,USA
Zesty Fusion 8435,Snacks,3:00 PM - 6:00 PM,UK
Spicy Brew 528,Beverages,8:00 AM - 10:00 PM,Brazil
Crispy Snack 5639,Lunch,11:00 AM - 3:00 PM,South Africa
Sizzling Delight 1176,Desserts,11:00 AM - 11:00 PM,Brazil
Veg Burst 5708,Desserts,11:00 AM - 11:00 PM,China
Golden Twist 5642,Dinner,6:00 PM - 10:00 PM,Japan
Tandoori Delight 4652,Lunch,11:00 AM - 3:00 PM,India
Grilled Brew 619,Desserts,11:00 AM - 11:00 PM,China
Crispy Snack 1493,Lunch,11:00 AM - 3:00 PM,South Africa
Sizzling Blaze 6489,Dinner,6:00 PM - 10:00 PM,China
Crispy Twist 9320,Dinner,6:00 PM - 10:00 PM,Germany
Golden Thunder 9110,Lunch,11:00 AM - 3:00 PM,UK
Herbal Thunder 8190,Dinner,6:00 PM - 10:00 PM,UK
Crispy Treat 3793,Snacks,3:00 PM - 6:00 PM,India
Veg Burst 1503,Beverages,8:00 AM - 10:00 PM,Australia
Herbal Fusion 2562,Desserts,11:00 AM - 11:00 PM,UK
Grilled Blaze 1571,Breakfast,6:00 AM - 10:00 AM,Japan
Zesty Blaze 9311,Breakfast,6:00 AM - 10:00 AM,Brazil
Herbal Delight 6928,Lunch,11:00 AM - 3:00 PM,UK
Grilled Brew 6266,Beverages,8:00 AM - 10:00 PM,South Africa
Tandoori Fusion 6717,Snacks,3:00 PM - 6:00 PM,Japan
Tandoori Twist 9710,Desserts,11:00 AM - 11:00 PM,Brazil
Herbal Thunder 5685,Beverages,8:00 AM - 10:00 PM,Australia
Veg Brew 6084,Beverages,8:00 AM - 10:00 PM,USA
Golden Snack 799,Dinner,6:00 PM - 10:00 PM,Australia
Sizzling Blaze 6066,Snacks,3:00 PM - 6:00 PM,Japan
Sizzling Delight 5432,Breakfast,6:00 AM - 10:00 AM,UK
Spicy Twist 2987,Snacks,3:00 PM - 6:00 PM,China
Spicy Twist 7831,Breakfast,6:00 AM - 10:00 AM,Brazil
Golden Blaze 6812,Desserts,11:00 AM - 11:00 PM,South Africa
Sizzling Fusion 7360,Lunch,11:00 AM - 3:00 PM,South Africa
Herbal Treat 8408,Snacks,3:00 PM - 6:00 PM,Australia
Herbal Blaze 9296,Beverages,8:00 AM - 10:00 PM,Australia
Choco Fusion 7925,Dinner,6:00 PM - 10:00 PM,Germany
Herbal Snack 2078,Snacks,3:00 PM - 6:00 PM,Japan
Spicy Snack 3901,Lunch,11:00 AM - 3:00 PM,Brazil
Choco Blaze 7122,Dinner,6:00 PM - 10:00 PM,Brazil
Tandoori Burst 605,Snacks,3:00 PM - 6:00 PM,UK
Crispy Delight 5469,Breakfast,6:00 AM - 10:00 AM,Australia
Choco Delight 9087,Snacks,3:00 PM - 6:00 PM,South Africa
Tandoori Blaze 6574,Lunch,11:00 AM - 3:00 PM,USA
Sizzling Twist 4959,Lunch,11:00 AM - 3:00 PM,Japan
Crispy Crunch 9579,Dinner,6:00 PM - 10:00 PM,USA
Veg Blaze 2856,Lunch,11:00 AM - 3:00 PM,Canada
Choco Brew 8986,Snacks,3:00 PM - 6:00 PM,Germany
Crispy Twist 3923,Beverages,8:00 AM - 10:00 PM,China
Golden Fusion 6408,Desserts,11:00 AM - 11:00 PM,Germany
Herbal Twist 4406,Lunch,11:00 AM - 3:00 PM,USA
Grilled Thunder 4821,Breakfast,6:00 AM - 10:00 AM,Brazil
Veg Thunder 5358,Breakfast,6:00 AM - 10:00 AM,Australia
Grilled Twist 9015,Beverages,8:00 AM - 10:00 PM,Canada
Spicy Burst 1883,Snacks,3:00 PM - 6:00 PM,Australia
Sizzling Crunch 1304,Lunch,11:00 AM - 3:00 PM,Canada
Spicy Fusion 8185,Desserts,11:00 AM - 11:00 PM,Japan
Herbal Treat 3984,Dinner,6:00 PM - 10:00 PM,Brazil
Choco Brew 7377,Desserts,11:00 AM - 11:00 PM,Brazil
Sizzling Delight 4180,Lunch,11:00 AM - 3:00 PM,South Africa
Grilled Thunder 4374,Desserts,11:00 AM - 11:00 PM,UK
Crispy Thunder 3869,Lunch,11:00 AM - 3:00 PM,Australia
Zesty Treat 170,Lunch,11:00 AM - 3:00 PM,UK
Zesty Thunder 8948,Dinner,6:00 PM - 10:00 PM,USA
Veg Thunder 176,Dinner,6:00 PM - 10:00 PM,Australia
Herbal Blaze 4052,Dinner,6:00 PM - 10:00 PM,Australia
Sizzling Treat 7488,Dinner,6:00 PM - 10:00 PM,Canada
Sizzling Delight 3389,Desserts,11:00 AM - 11:00 PM,India
Crispy Twist 7954,Desserts,11:00 AM - 11:00 PM,USA
Crispy Thunder 6937,Snacks,3:00 PM - 6:00 PM,India
Herbal Fusion 3052,Beverages,8:00 AM - 10:00 PM,Germany
Sizzling Crunch 3395,Snacks,3:00 PM - 6:00 PM,India
Zesty Thunder 442,Snacks,3:00 PM - 6:00 PM,South Africa
Herbal Crunch 8844,Desserts,11:00 AM - 11:00 PM,Brazil
Choco Burst 3779,Snacks,3:00 PM - 6:00 PM,India
Tandoori Fusion 295,Snacks,3:00 PM - 6:00 PM,India
Zesty Thunder 7769,Dinner,6:00 PM - 10:00 PM,Australia
Herbal Snack 6985,Dinner,6:00 PM - 10:00 PM,Australia
Zesty Thunder 1730,Lunch,11:00 AM - 3:00 PM,USA
Zesty Fusion 5440,Desserts,11:00 AM - 11:00 PM,UK
Tandoori Thunder 282,Dinner,6:00 PM - 10:00 PM,India
Golden Fusion 1811,Breakfast,6:00 AM - 10:00 AM,Japan
Golden Fusion 289,Desserts,11:00 AM - 11:00 PM,Australia
Grilled Brew 8754,Desserts,11:00 AM - 11:00 PM,Japan
Tandoori Burst 2280,Beverages,8:00 AM - 10:00 PM,South Africa
Spicy Treat 6743,Desserts,11:00 AM - 11:00 PM,Brazil
Crispy Blaze 2010,Breakfast,6:00 AM - 10:00 AM,China
Zesty Thunder 7899,Dinner,6:00 PM - 10:00 PM,Australia
Crispy Thunder 9571,Lunch,11:00 AM - 3:00 PM,Canada
Golden Thunder 4247,Snacks,3:00 PM - 6:00 PM,South Africa
Spicy Blaze 1073,Dinner,6:00 PM - 10:00 PM,Brazil
Tandoori Brew 4580,Desserts,11:00 AM - 11:00 PM,Canada
Grilled Brew 6458,Beverages,8:00 AM - 10:00 PM,Brazil
Tandoori Snack 4410,Beverages,8:00 AM - 10:00 PM,Brazil
Herbal Burst 3368,Desserts,11:00 AM - 11:00 PM,Germany
Veg Blaze 828,Desserts,11:00 AM - 11:00 PM,UK
Golden Brew 3646,Breakfast,6:00 AM - 10:00 AM,China
Spicy Brew 7313,Beverages,8:00 AM - 10:00 PM,UK
Crispy Twist 7428,Beverages,8:00 AM - 10:00 PM,UK
Sizzling Delight 1493,Breakfast,6:00 AM - 10:00 AM,China
Spicy Crunch 2332,Lunch,11:00 AM - 3:00 PM,Japan
Spicy Treat 4926,Beverages,8:00 AM - 10:00 PM,Brazil
Crispy Blaze 6733,Lunch,11:00 AM - 3:00 PM,South Africa
Zesty Blaze 9032,Breakfast,6:00 AM - 10:00 AM,Australia
Herbal Crunch 1689,Beverages,8:00 AM - 10:00 PM,Canada
Spicy Blaze 4428,Lunch,11:00 AM - 3:00 PM,USA
Golden Thunder 3721,Snacks,3:00 PM - 6:00 PM,South Africa
Golden Treat 6225,Lunch,11:00 AM - 3:00 PM,India
Sizzling Delight 371,Dinner,6:00 PM - 10:00 PM,India
Zesty Blaze 8853,Desserts,11:00 AM - 11:00 PM,South Africa
Veg Twist 51,Breakfast,6:00 AM - 10:00 AM,India
Veg Brew 7747,Desserts,11:00 AM - 11:00 PM,China
Veg Brew 8578,Beverages,8:00 AM - 10:00 PM,China
Crispy Twist 6167,Dinner,6:00 PM - 10:00 PM,Canada
Grilled Brew 8797,Desserts,11:00 AM - 11:00 PM,UK
Golden Crunch 3076,Lunch,11:00 AM - 3:00 PM,Brazil
Choco Crunch 7295,Breakfast,6:00 AM - 10:00 AM,Brazil
Tandoori Burst 9861,Breakfast,6:00 AM - 10:00 AM,USA
Grilled Snack 2030,Dinner,6:00 PM - 10:00 PM,Brazil
Golden Brew 3146,Beverages,8:00 AM - 10:00 PM,Canada
Tandoori Treat 8787,Desserts,11:00 AM - 11:00 PM,India
Herbal Snack 7129,Lunch,11:00 AM - 3:00 PM,India
Tandoori Crunch 9585,Snacks,3:00 PM - 6:00 PM,China
Veg Delight 1927,Snacks,3:00 PM - 6:00 PM,USA
Herbal Fusion 4640,Breakfast,6:00 AM - 10:00 AM,India
Herbal Blaze 5190,Beverages,8:00 AM - 10:00 PM,Germany
Spicy Blaze 7254,Beverages,8:00 AM - 10:00 PM,UK
Grilled Twist 8543,Snacks,3:00 PM - 6:00 PM,Germany
Zesty Blaze 392,Snacks,3:00 PM - 6:00 PM,Germany
Herbal Snack 1029,Snacks,3:00 PM - 6:00 PM,Australia
Veg Brew 6735,Dinner,6:00 PM - 10:00 PM,China
Zesty Twist 7274,Dinner,6:00 PM - 10:00 PM,India
Veg Snack 2934,Breakfast,6:00 AM - 10:00 AM,Germany
Sizzling Delight 6463,Dinner,6:00 PM - 10:00 PM,Brazil
Crispy Snack 9256,Breakfast,6:00 AM - 10:00 AM,Canada
Veg Twist 4127,Dinner,6:00 PM - 10:00 PM,USA
Crispy Delight 7399,Dinner,6:00 PM - 10:00 PM,Australia
Grilled Crunch 8622,Lunch,11:00 AM - 3:00 PM,India
Crispy Snack 1890,Breakfast,6:00 AM - 10:00 AM,Japan
Zesty Brew 5352,Desserts,11:00 AM - 11:00 PM,China
Spicy Blaze 2020,Snacks,3:00 PM - 6:00 PM,Japan
Spicy Burst 7705,Dinner,6:00 PM - 10:00 PM,Germany
Golden Fusion 824,Lunch,11:00 AM - 3:00 PM,Australia
Zesty Twist 5568,Snacks,3:00 PM - 6:00 PM,Germany
Veg Delight 5117,Lunch,11:00 AM - 3:00 PM,USA
Sizzling Brew 842,Dinner,6:00 PM - 10:00 PM,Germany
Zesty Brew 2491,Breakfast,6:00 AM - 10:00 AM,Australia
Spicy Crunch 8421,Breakfast,6:00 AM - 10:00 AM,USA
Spicy Brew 41,Dinner,6:00 PM - 10:00 PM,Brazil
Spicy Brew 7976,Lunch,11:00 AM - 3:00 PM,Canada
Zesty Snack 58,Breakfast,6:00 AM - 10:00 AM,Australia
Herbal Treat 4997,Lunch,11:00 AM - 3:00 PM,USA
Golden Burst 1582,Lunch,11:00 AM - 3:00 PM,South Africa
Golden Delight 3918,Desserts,11:00 AM - 11:00 PM,Germany
Tandoori Burst 436,Dinner,6:00 PM - 10:00 PM,Australia
Choco Thunder 9834,Desserts,11:00 AM - 11:00 PM,Germany
Crispy Twist 1433,Breakfast,6:00 AM - 10:00 AM,Germany
Tandoori Fusion 555,Desserts,11:00 AM - 11:00 PM,Brazil
Sizzling Snack 7070,Breakfast,6:00 AM - 10:00 AM,USA
Zesty Crunch 5428,Desserts,11:00 AM - 11:00 PM,Canada
Choco Delight 252,Snacks,3:00 PM - 6:00 PM,UK
Choco Burst 2473,Breakfast,6:00 AM - 10:00 AM,China
Herbal Treat 4335,Dinner,6:00 PM - 10:00 PM,Japan
Crispy Blaze 8584,Beverages,8:00 AM - 10:00 PM,Canada
Grilled Blaze 9429,Lunch,11:00 AM - 3:00 PM,Canada
Herbal Delight 9690,Beverages,8:00 AM - 10:00 PM,Australia
Crispy Brew 386,Lunch,11:00 AM - 3:00 PM,Germany
Spicy Treat 2639,Snacks,3:00 PM - 6:00 PM,Germany
Grilled Crunch 484,Snacks,3:00 PM - 6:00 PM,Canada
Sizzling Treat 749,Snacks,3:00 PM - 6:00 PM,Canada
Grilled Fusion 1005,Snacks,3:00 PM - 6:00 PM,South Africa
Sizzling Twist 4513,Beverages,8:00 AM - 10:00 PM,Canada
Crispy Brew 6291,Breakfast,6:00 AM - 10:00 AM,India
Spicy Snack 5308,Beverages,8:00 AM - 10:00 PM,Canada
Crispy Fusion 3258,Dinner,6:00 PM - 10:00 PM,Brazil
Golden Treat 6065,Dinner,6:00 PM - 10:00 PM,India
Zesty Delight 1352,Beverages,8:00 AM - 10:00 PM,UK
Veg Fusion 72,Desserts,11:00 AM - 11:00 PM,India
Veg Burst 7267,Dinner,6:00 PM - 10:00 PM,Germany
